id;country;city;zip_code
1;Philippines;Mitchellchester;2023-04-12T11:40:48
2;Turkey;Davenport;2023-04-12T11:22:18
3;Panama;Cartershire;2023-04-12T14:11:23
4;British Indian Ocean Territory (Chagos Archipelago);Manteburgh;2023-04-12T14:40:40
5;Saint Vincent and the Grenadines;Ricardobury;2023-04-12T12:05:37
6;Algeria;Bedford;2023-04-12T18:33:09
7;Equatorial Guinea;Zemlakview;2023-04-12T20:24:33
8;Singapore;Toledo;2023-04-12T20:39:17
9;Isle of Man;Thalialand;2023-04-13T02:21:11
10;Ecuador;Jordiview;2023-04-13T09:43:23
