id;company_name;company_type;company_description;company_picture;company_creation_date;company_location_address;company_activity_domaine
1;Isle;benchmark;Loan payment;transparent Rue;2023-04-12T16:04:26;withdrawal;Representative
2;teal reboot invoice;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;2023-04-12T18:13:59;e-markets;Central standardization
3;Towels Tuna architecture;Philippines;CSS;Computer Hat;2023-04-12T23:58:16;Graphic Account;viral
4;Concrete Synergized;Central Investment Extensions;Car;Bacon architectures;2023-04-12T13:13:48;generating Bedfordshire;Computer
5;quantify;interactive local;Sausages Azerbaijanian;International Montserrat;2023-04-12T15:34:19;withdrawal THX;Central solution
6;AGP viral;unleash Buckinghamshire;Account;bypassing Central mobile;2023-04-13T02:02:01;harness leverage;Frozen Berkshire Toys
7;tan;product clicks-and-mortar Handcrafted;Mississippi;District Personal Paradigm;2023-04-12T13:25:28;Account;Refined paradigms program
8;Shirt;Tunisian green streamline;Tasty responsive;Generic content-based;2023-04-12T19:29:45;generating Soap;capability Markets Metal
9;Gabon;web;deposit program Gorgeous;Bedfordshire killer input;2023-04-13T03:00:09;Computer Music Gorgeous;B2B drive digital
10;multi-byte transmitter;Up-sized;asynchronous;Integrated;2023-04-12T23:13:26;Small Mandatory Intranet;content-based transmitting
